date,probability
2009-10-31,0.47806675519262043
2009-11-30,0.5
2009-12-31,0.5
2010-01-31,0.5
2010-02-28,0.5092027155976546
2010-03-31,0.5
2010-04-30,0.47736758264628326
2010-05-31,0.5
2010-06-30,0.457188524983146
2010-07-31,0.5
2010-08-31,0.5
2010-09-30,0.4678535574958438
2010-10-31,0.4751708596944809
2010-11-30,0.5
2010-12-31,0.4762670582249051
2011-01-31,0.47500159740448
2011-02-28,0.4743697831505223
2011-03-31,0.24306330505914261
2011-04-30,0.3552364567104651
2011-05-31,0.435880435364587
2011-06-30,0.43867289884523913
2011-07-31,0.40776303261518476
2011-08-31,0.38637048524358997
2011-09-30,0.424669847601936
2011-10-31,0.5
2011-11-30,0.475841723382473
2011-12-31,0.4551531615711394
2012-01-31,0.4795383423566818
2012-02-29,0.5
2012-03-31,0.4770670072598891
2012-04-30,0.4636527228923071
2012-05-31,0.46303185752846976
2012-06-30,0.5472599807239714
2012-07-31,0.47653673660187496
2012-08-31,0.4851918039114579
2012-09-30,0.4904812187479254
2012-10-31,0.4895664110328212
2012-11-30,0.47512462735176086
2012-12-31,0.4956300526857376
2013-01-31,0.39336537310595954
2013-02-28,0.36961712591866575
2013-03-31,0.5193029730023684
2013-04-30,0.41983972291474214
2013-05-31,0.4144074531441385
2013-06-30,0.4012613726006885
2013-07-31,0.4194635223935951
2013-08-31,0.3896500278773989
2013-09-30,0.34333986902456265
2013-10-31,0.44140658929492493
2013-11-30,0.3387831688226016
2013-12-31,0.3067573212734124
2014-01-31,0.35509907236985877
2014-02-28,0.4043304449633548
2014-03-31,0.43493277871565067
2014-04-30,0.45063652951203764
2014-05-31,0.40188921964357766
2014-06-30,0.4497453452102722
2014-07-31,0.3967808481418725
2014-08-31,0.3812444380351475
2014-09-30,0.4418478641245101
2014-10-31,0.35147917775575777
2014-11-30,0.4999043544133504
2014-12-31,0.4430782849138433
2015-01-31,0.3470907712976138
2015-02-28,0.44126903069646733
2015-03-31,0.4024604315107519
2015-04-30,0.43684160032055597
2015-05-31,0.46073314249515535
2015-06-30,0.4258818870240992
2015-07-31,0.45553808320652356
2015-08-31,0.36259253535951885
2015-09-30,0.4004687439827692
2015-10-31,0.2996165184747605
2015-11-30,0.47373660300907333
2015-12-31,0.45133870433677326
2016-01-31,0.4474642621843438
2016-02-29,0.36184753576914475
2016-03-31,0.4128248561983523
2016-04-30,0.4773274617535727
2016-05-31,0.47637120598838445
2016-06-30,0.49984413520856336
2016-07-31,0.33897269691030185
2016-08-31,0.35884668840014416
2016-09-30,0.44971487919489544
2016-10-31,0.347785514096419
2016-11-30,0.3609505405028661
2016-12-31,0.4743728674863742
2017-01-31,0.3776667098204295
2017-02-28,0.4136235515276591
2017-03-31,0.4332285861955831
2017-04-30,0.2976508235139033
2017-05-31,0.3727986801754344
2017-06-30,0.29201041527769783
2017-07-31,0.443094717313846
2017-08-31,0.3076740123840593
2017-09-30,0.34664829015731813
2017-10-31,0.37435463800660806
2017-11-30,0.3208604787219138
2017-12-31,0.3939491068323453
2018-01-31,0.5170882219202304
2018-02-28,0.30119146935711366
2018-03-31,0.24769559849484163
2018-04-30,0.2691034020590428
2018-05-31,0.28131124475894087
2018-06-30,0.36531523851129244
2018-07-31,0.24315910578185668
2018-08-31,0.3177460088015661
2018-09-30,0.2763703096400724
2018-10-31,0.26086142316345623
2018-11-30,0.21705002852210317
2018-12-31,0.310314951756801
2019-01-31,0.23911960042780012
2019-02-28,0.2501461556380583
2019-03-31,0.32592096969715884
2019-04-30,0.31891180748979914
2019-05-31,0.24258954542014735
2019-06-30,0.2576907291842832
2019-07-31,0.24863447478610626
2019-08-31,0.2773181557608704
2019-09-30,0.3384386816481775
2019-10-31,0.2727031999306186
2019-11-30,0.3518305484912217
2019-12-31,0.35383504848252395
2020-01-31,0.33891049631873954
2020-02-29,0.3011467026245231
2020-03-31,0.2885576812209766
2020-04-30,0.32891949412870963
2020-05-31,0.343608247880025
2020-06-30,0.3219385858770487
2020-07-31,0.23648536903464812
2020-08-31,0.26450582260720534
2020-09-30,0.3236725291798985
2020-10-31,0.21915769230660698
2020-11-30,0.2436518964836173
2020-12-31,0.30799078160915716
2021-01-31,0.279562473697808
2021-02-28,0.3012305452851755
2021-03-31,0.3088569572657514
2021-04-30,0.2932990761113313
2021-05-31,0.23006560344435792
2021-06-30,0.24901336156245596
2021-07-31,0.20125531608408148
